Subject,Treatment,Time,SoilQuality
A01,A,Baseline,40.74
A01,A,1_month,45.16
A01,A,3_months,48.73
A01,A,6_months,47.57
A02,A,Baseline,42.37
A02,A,1_month,43.91
A02,A,3_months,43.69
A02,A,6_months,47.51
A03,A,Baseline,38.23
A03,A,1_month,42.51
A03,A,3_months,40.63
A03,A,6_months,42.97
A04,A,Baseline,37.05
A04,A,1_month,42.44
A04,A,3_months,42.24
A04,A,6_months,43.33
A05,A,Baseline,42.52
A05,A,1_month,46.05
A05,A,3_months,45.37
A05,A,6_months,48.95
A06,A,Baseline,38.15
A06,A,1_month,43.9
A06,A,3_months,44.14
A06,A,6_months,46.7
A07,A,Baseline,42.13
A07,A,1_month,41.77
A07,A,3_months,41.89
A07,A,6_months,47.28
A08,A,Baseline,37.93
A08,A,1_month,37.03
A08,A,3_months,40.17
A08,A,6_months,44.91
B01,B,Baseline,43.79
B01,B,1_month,46.77
B01,B,3_months,48.93
B01,B,6_months,49.32
B02,B,Baseline,39.73
B02,B,1_month,45.96
B02,B,3_months,47.18
B02,B,6_months,45.89
B03,B,Baseline,41.96
B03,B,1_month,44.93
B03,B,3_months,49.75
B03,B,6_months,53.0
B04,B,Baseline,42.35
B04,B,1_month,46.81
B04,B,3_months,50.46
B04,B,6_months,54.12
B05,B,Baseline,40.71
B05,B,1_month,42.55
B05,B,3_months,44.89
B05,B,6_months,51.0
B06,B,Baseline,44.58
B06,B,1_month,50.02
B06,B,3_months,51.36
B06,B,6_months,52.05
B07,B,Baseline,45.49
B07,B,1_month,46.16
B07,B,3_months,51.54
B07,B,6_months,46.51
B08,B,Baseline,43.8
B08,B,1_month,46.61
B08,B,3_months,49.81
B08,B,6_months,48.57
C01,C,Baseline,39.2
C01,C,1_month,43.22
C01,C,3_months,41.63
C01,C,6_months,43.11
C02,C,Baseline,39.64
C02,C,1_month,40.59
C02,C,3_months,41.04
C02,C,6_months,44.92
C03,C,Baseline,40.94
C03,C,1_month,39.93
C03,C,3_months,42.6
C03,C,6_months,44.49
C04,C,Baseline,36.61
C04,C,1_month,38.54
C04,C,3_months,40.08
C04,C,6_months,41.65
C05,C,Baseline,35.41
C05,C,1_month,37.55
C05,C,3_months,38.73
C05,C,6_months,41.88
C06,C,Baseline,43.2
C06,C,1_month,42.12
C06,C,3_months,44.27
C06,C,6_months,45.67
C07,C,Baseline,35.11
C07,C,1_month,37.27
C07,C,3_months,43.6
C07,C,6_months,40.82
C08,C,Baseline,39.54
C08,C,1_month,39.5
C08,C,3_months,45.66
C08,C,6_months,46.96
