Time,precipitation,Manual Daily Maximum Air Temperature(Avg),Manual Daily Minimum Air Temperature(Avg)
01/01/1982 00:00:00,16,12.612,-0.655
02/01/1982 00:00:00,39.1,12.032,0.378
03/01/1982 00:00:00,25.7,15.522,1.167
04/01/1982 00:00:00,59.2,18.536,3.583
05/01/1982 00:00:00,75,21.4,7.154
06/01/1982 00:00:00,133.4,21.279,8.46
07/01/1982 00:00:00,99.6,21.925,10.454
08/01/1982 00:00:00,380.7,22.57,10.541
09/01/1982 00:00:00,256.4,21.223,8.95
10/01/1982 00:00:00,5.3,20.248,5.8
11/01/1982 00:00:00,19,15.856,1.123
12/01/1982 00:00:00,6,13.161,-1.678
01/01/1983 00:00:00,0,10.783,-1.991
02/01/1983 00:00:00,2.2,12.014,0.303
03/01/1983 00:00:00,36.5,15.987,5.535
04/01/1983 00:00:00,117,18.346,7.923
05/01/1983 00:00:00,145.7,20.27,10.261
06/01/1983 00:00:00,133.7,22.066,13.966
07/01/1983 00:00:00,420.3,22.5,14.77
08/01/1983 00:00:00,187,22.074,14.696
09/01/1983 00:00:00,256.5,22.356,13.713
10/01/1983 00:00:00,129,21.464,11.122
11/01/1983 00:00:00,0.3,16.47,5.556
12/01/1983 00:00:00,32.5,14.338,2.745
01/01/1984 00:00:00,25.9,11.111,0.288
02/01/1984 00:00:00,18.5,14.02,3.475
03/01/1984 00:00:00,13.9,18.587,6.951
04/01/1984 00:00:00,73.9,20.943,9.613
05/01/1984 00:00:00,73.4,20.974,11.912
06/01/1984 00:00:00,169.4,22.18,14.426
07/01/1984 00:00:00,372.4,21.387,14.109
08/01/1984 00:00:00,254.7,23.345,14.474
09/01/1984 00:00:00,441.5,20.533,12.313
10/01/1984 00:00:00,37.9,21.045,10.951
11/01/1984 00:00:00,0,15.023,4.863
12/01/1984 00:00:00,15.9,12.858,3.19
01/01/1985 00:00:00,15.8,11.954,1
02/01/1985 00:00:00,0,12.546,1.492
03/01/1985 00:00:00,1.1,19.174,8.022
04/01/1985 00:00:00,37.2,20.823,10.596
05/01/1985 00:00:00,244.8,20.325,10.49
06/01/1985 00:00:00,116.5,21.9,13.966
07/01/1985 00:00:00,435.9,20.496,14.08
08/01/1985 00:00:00,276.3,22.829,14.522
09/01/1985 00:00:00,479.2,20.996,12.766
10/01/1985 00:00:00,222.3,19.325,11.525
11/01/1985 00:00:00,0,15.516,4.503
12/01/1985 00:00:00,98.6,13.641,2.58
01/01/1986 00:00:00,0,13.741,1.619
02/01/1986 00:00:00,32.4,13.718,2.896
03/01/1986 00:00:00,2.6,17.948,4.919
04/01/1986 00:00:00,117.1,19.616,8.773
05/01/1986 00:00:00,193,20.229,10.106
06/01/1986 00:00:00,375.2,21.679,14.141
07/01/1986 00:00:00,338.5,22.161,14.635
08/01/1986 00:00:00,289.2,22.454,13.345
09/01/1986 00:00:00,292.7,21.023,12.663
10/01/1986 00:00:00,42.9,18.938,8.245
11/01/1986 00:00:00,4.2,16.123,5.47
12/01/1986 00:00:00,70.2,13.367,2.041
01/01/1987 00:00:00,0.2,14.003,1.932
02/01/1987 00:00:00,51.3,14.767,3.807
03/01/1987 00:00:00,22.7,15.516,5.535
04/01/1987 00:00:00,35.6,20.093,9.123
05/01/1987 00:00:00,61.9,20.79,10.909
06/01/1987 00:00:00,91.1,21.934,14.513
07/01/1987 00:00:00,634.2,20.812,14.725
08/01/1987 00:00:00,263.9,21.232,14.151
09/01/1987 00:00:00,107.3,22.15,13.993
10/01/1987 00:00:00,217.6,19.933,9.856
11/01/1987 00:00:00,0,17.886,4.596
