SN,gender,age,edu,nos,years,VAR00003,position,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,os1,os2,os3,os4,os5,os6,os7,os8,os9,tdo1,tdo2,tdo3,tdo4,tdo5,tdo6,tdo7,tdo8,tdo9,tdo10,tdo11,tdo12,tdo13,tdo14,tdo15,tdo16,tdo17,tdo18,tdo19,tdo20,tdo21,tdo22,bot1,bot2,bot3,bot4,bot5,bot6,bot7,bot8,bot9,bot10,ocb1,ocb2,ocb3,ocb4,ocb5,ocb6,ocb7,ocb8,ocb9,ocb10,ocb11,ocb12,ocb13,ocb14,ocb15,ocb16,ocb17,ocb18,ocb19,ocb20,fcms1,fcms2,fcms3,fcms4,fcms5,fcms6,Engmt,Orgs,Orgstd,opscg,suptss,suptmg,jrcbt,pbot,cms,fcmst,tdop,bot,alt,spst,cout,cvcv,cons,OCB,nedu,nage,ninvl,nyrs
1,1,4,5,2,2,4,regional manufacturing m,1,4,4,4,5,5,4,4,3,3,3,4,4,4,4,5,4,4,5,4,2,3,3,4,4,4,4,4,5,4,5,5,5,4,4,4,5,5,5,5,3,3,3,4,3,3,4,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,4,34,35,6,10,23,36,16,9,7,16,75,32,12,30,18,18,24,102,2,2,1,2
2,1,4,5,10,10,2,assistant manager,5,6,6,6,4,6,6,5,6,5,5,4,5,5,5,5,6,5,5,6,4,1,1,6,6,6,7,6,6,6,6,7,7,7,6,6,6,6,6,6,5,4,2,4,4,4,4,4,3,4,6,6,7,1,7,7,6,6,7,7,5,7,7,7,6,6,7,7,7,7,4,4,4,4,4,5,50,45,10,8,31,51,21,9,8,21,100,38,12,29,21,17,28,107,2,2,2,3
3,1,5,5,2,2,2,asset care manager,7,7,7,7,7,7,7,7,7,5,7,3,3,3,3,3,5,3,2,2,2,1,1,1,7,1,2,5,1,1,7,7,1,1,1,5,1,7,1,2,2,4,2,4,4,4,4,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,2,1,5,1,5,2,63,35,4,3,22,9,19,11,9,11,38,39,14,35,19,21,28,117,2,3,1,2
4,1,6,4,25,3,3,deputy manager,7,7,7,7,6,7,7,7,5,5,6,6,6,5,6,5,5,6,6,5,4,6,2,2,6,6,6,6,5,6,5,6,6,6,6,5,6,6,5,6,5,4,3,5,4,5,5,4,3,4,6,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,5,5,5,5,4,4,3,4,4,4,60,50,9,10,29,46,23,10,9,19,94,42,12,35,21,21,20,109,1,3,4,2
5,2,5,4,7,5,2,assistant accountant,5,6,6,6,6,5,6,6,6,6,6,6,5,5,6,6,6,5,6,6,5,5,5,6,6,6,6,6,5,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,4,4,4,4,4,4,52,51,11,16,27,43,20,12,8,20,97,40,12,30,20,19,24,105,1,3,2,2
6,1,4,4,2,2,2,assistant manager engine,5,7,7,5,7,7,7,4,1,2,2,1,1,6,3,2,1,4,4,6,1,1,1,7,7,7,6,4,7,7,5,5,7,6,6,4,7,4,5,5,1,1,4,3,1,3,2,1,2,7,1,5,5,5,5,5,6,1,5,7,7,7,7,7,2,2,4,4,4,4,1,4,1,5,4,4,50,22,7,9,25,52,8,7,10,15,93,25,6,25,21,11,16,79,1,2,1,2
7,2,3,5, , ,2,assistant,3,3,7,7,6,5,5,7,1,6,6,6,6,4,5,4,4,4,4,4,4,1,4,5,6,4,5,5,5,7,6,7,6,6,6,6,4,7,4,7,5,1,1,5,5,3,4,3,3,3,6,6,2,3,2,2,7,7,2,6,5,7,7,5,7,7,7,7,7,7,3,5,2,5,4,4,44,45,8,10,31,41,20,5,8,19,90,33,12,11,19,19,28,89,2,1, , 
8,1,4,5,2,2,2,assistant manager,5,4,5,6,7,7,7,7,6,7,6,5,4,5,4,4,4,4,2,2,2,2,2,5,6,4,5,5,5,5,5,6,6,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,4,3,4,4,54,43,4,9,25,40,20,12,11,15,78,43,14,30,18,18,24,104,2,2,1,2
9,2,4,5,2,2,2,assistant,4,5,7,5,4,5,7,5,4,6,5,6,6,6,6,5,4,5,5,5,4,2,5,5,5,6,6,6,5,6,5,4,5,6,6,6,6,5,6,6,4,3,3,5,5,4,4,4,4,5,6,6,6,6,6,6,6,6,6,7,7,7,6,6,7,7,7,7,7,7,5,5,4,3,3,5,46,49,9,12,27,46,21,10,10,22,94,41,12,30,19,21,28,110,2,2,1,2
10,2,3,5,2,2,2,senior assistant,5,5,7,6,5,5,5,5,6,5,4,5,5,4,4,5,5,4,4,5,4,5,3,4,3,4,4,4,5,5,3,4,4,5,5,6,6,4,4,5,4,3,2,4,4,3,4,3,3,4,6,6,5,5,5,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,3,3,4,3,4,3,49,41,9,12,21,37,18,8,8,16,79,34,12,25,18,18,24,97,2,1,1,2
