Age in completed years,Years of +2  (or equivalent) Completed ,Faculty,Resident Type,Please indicate your level of agreement with each of the following statements [I have basic knowledge of IBM SPSS Statistics.],
1,4,5,5,4,3
1,4,5,5,3,4
1,4,5,5,3,3
1,4,5,5,3,3
1,4,5,5,2,2
1,4,5,5,4,4
1,4,5,5,3,3
1,4,5,5,4,3
1,4,5,5,3,3
1,4,5,5,3,5
1,4,5,5,5,5
1,4,5,5,2,2
1,4,5,5,4,2
1,4,5,5,3,3
1,4,5,5,2,2
1,4,5,5,4,4
1,4,5,5,4,5
1,4,5,5,3,3
1,4,5,5,3,4
1,4,5,5,3,3
1,4,5,5,4,5
1,4,5,5,4,3
,4,5,5,5,5
1,4,5,5,2,2
1,4,5,5,4,4
1,4,5,5,3,4
1,4,5,5,3,3
1,4,5,5,3,3
1,4,5,5,2,2
1,4,5,5,2,2
1,4,5,5,3,3
1,4,5,5,2,2
1,4,5,5,2,2
1,4,5,5,4,3
1,4,5,5,1,2
1,4,5,5,4,4
1,4,5,5,2,3
1,4,5,5,2,2
1,4,5,5,3,5
1,4,5,5,4,4
1,4,5,5,4,3
1,4,5,5,4,3
1,4,5,5,4,3
1,4,5,5,3,3
1,4,5,5,2,3
,4,5,5,4,4
1,4,5,5,4,1
1,4,5,5,3,4
1,4,5,5,3,3
1,4,5,5,2,3
1,4,5,5,3,4
1,4,5,5,3,3
1,4,5,5,1,1
1,4,5,5,3,5
1,4,5,5,4,4
1,4,5,5,2,2
1,4,5,5,2,2
1,4,5,5,4,4
1,4,5,5,2,2
1,4,5,5,3,5
1,4,5,5,3,3
1,4,5,5,3,4
1,4,5,5,3,4
1,4,5,5,4,4
1,4,5,5,3,5
1,4,5,5,3,2
1,4,5,5,3,3
1,4,5,5,2,2
,4,5,5,2,2
